group,image,label,nuc_area,nuc_mean,nuc_integrated,cell_area,cell_mean,cell_integrated,cyto_area,cyto_mean,cyto_integrated,saturated_px,flag_saturated,flag_area_outlier,flag_no_cyto,keep
control,PB154766,67,29868.0,0.926204884285363,27663.88748383522,46320.0,0.8613333026580963,39896.95857912302,16452.0,0.7426715449509527,12218.432257533073,0.0,False,False,False,True
control,PB154766,68,30096.0,0.32339259028407025,9732.823397189379,173256.0,0.15967785028394416,27665.145628795028,142792.0,0.12507644609730095,17859.9158911258,0.0,False,False,False,True
control,PB154766,69,30416.0,0.45363954966716363,13797.900542676449,46192.0,0.40945673075088135,18913.62530684471,16208.0,0.32514339931831426,5269.9242161512375,0.0,False,False,False,True
control,PB154766,71,25392.0,0.5669300119746441,14395.486864060163,36000.0,0.496891541780697,17888.09550410509,11296.0,0.33795247916870935,3817.511204689741,0.0,False,False,False,True
control,PB154766,72,28544.0,0.5348662475088503,15267.222168892622,59760.0,0.4123608761139144,24642.685956567526,31392.0,0.30053984352732105,9434.546768009663,0.0,False,False,False,True
control,PB154766,75,29720.0,0.43175903488436906,12831.878516763449,89544.0,0.2561012383193952,22932.329284071922,60080.0,0.16975644825748137,10198.96741130948,0.0,False,False,False,True
control,PB154766,76,31152.0,0.5167035197845837,16096.348048329353,43792.0,0.46564133649036576,20391.365407586098,12640.0,0.33979567715638803,4295.017359256744,30.0,True,False,False,False
control,PB154766,77,29520.0,0.5470407233772885,16148.642154097557,85584.0,0.4384304158856884,37522.62871316075,56064.0,0.38124262555406674,21373.986559063196,0.0,False,False,False,True
control,PB154766,78,26352.0,0.41116083273918574,10834.910264343023,37824.0,0.36976774484581,13986.095181047916,11744.0,0.274534637834217,3224.1347867250443,0.0,False,False,False,True
control,PB154766,79,28168.0,0.5140817378354289,14480.654391348362,31020.0,0.5053602630787707,15676.275360703468,2852.0,0.41922193876406255,1195.6209693551064,0.0,False,False,False,True
control,PB154766,80,29328.0,0.32137323570053106,9425.234256625175,65384.0,0.26302766875407985,17197.801093816757,35880.0,0.21539240353631733,7728.279438883066,0.0,False,False,False,True
control,PB154766,82,25872.0,0.64197139434134,16609.083914399147,36652.0,0.5130928134423514,18805.87779828906,11660.0,0.22765186603594809,2654.4207579791546,0.0,False,False,False,True
control,PB154766,83,25552.0,0.4939165603294829,12620.555949538946,50080.0,0.38952151557353265,19507.237499922514,24528.0,0.28076816496997586,6886.681550383568,0.0,False,False,False,True
control,PB154766,85,25520.0,0.5313259223271687,13559.437537789345,158596.0,0.3347498252775519,53089.98328971863,132560.0,0.2967814586445123,39341.350157916546,0.0,False,False,False,True
control,PB154766,86,27888.0,0.4311602530157812,12024.197136104107,125168.0,0.3118555554111763,39034.336159706116,97280.0,0.27765356726564566,27010.13902360201,0.0,False,False,False,True
control,PB154766,87,25616.0,0.5246373293938803,13439.109829753637,89584.0,0.3406130015989125,30513.47513523698,63968.0,0.26692041810723083,17074.36530548334,0.0,False,False,False,True
control,PB154766,89,25680.0,0.47788415414011365,12272.065078318119,27904.0,0.4704727796013168,13128.072441995144,2128.0,0.3330720063663067,708.7772295475006,0.0,False,False,False,True
control,PB154766,91,26880.0,0.4571843340704661,12289.114899814129,55824.0,0.34362264785207713,19182.390693694353,29120.0,0.2384806515843413,6944.556574136019,0.0,False,False,False,True
control,PB154766,92,22692.0,0.8422453846462647,19112.23226839304,24888.0,0.8341228020144252,20759.648296535015,2196.0,0.7501894481520835,1647.4160281419754,15.0,True,False,False,False
